species;predictors;Trait_names;IUCN_names;origin;origin3;ncells_summer;ncells_winter;D;ses.z.D;lon_summer;lat_summer;lat_winter;Mig_LatDistance;rangesize_winter;rangesize_summer;nicheBreadth;BodyMass;VertFishScav;Invertebrate;Omnivore;PlantSeed;FruiNect;Flight
Anser_erythropus_22679886;clim.land;Anser_erythropus;Anser_erythropus;Palearctic;EPale;2266;906;0.122452304;3.259483076;95.63150927;68.28353928;35.1004415;33.18309778;2270790.149;2585618.082;5.637264609;1755.5;0;0;0;1;0;active
Anser_erythropus_22679886;clim.ndvi;Anser_erythropus;Anser_erythropus;Palearctic;EPale;2266;906;0.259827948;7.920087067;95.63150927;68.28353928;35.1004415;33.18309778;2270790.149;2585618.082;4.347914172;1755.5;0;0;0;1;0;active
Anser_indicus_22679893;clim.land;Anser_indicus;Anser_indicus;Palearctic;EPale;1025;716;0.28101288;4.45819619;86.92414634;41.25195122;22.55586592;18.6960853;2028657.667;2360377.648;5.647359098;2212.55;0;0;0;1;0;active
Anser_indicus_22679893;clim.ndvi;Anser_indicus;Anser_indicus;Palearctic;EPale;1025;716;0.057080715;-0.009447885;86.92414634;41.25195122;22.55586592;18.6960853;2028657.667;2360377.648;4.516714052;2212.55;0;0;0;1;0;active
Anser_rossii_22679909;clim.land;Chen_rossii;Anser_rossii;Nearctic;Nearctic;139;266;0.073089828;15.26442504;-94.4118705;61.88669065;33.40413534;28.48255531;682741.4693;201353.1301;6.183609605;1635.99;0;0;0;1;0;active
Anser_rossii_22679909;clim.ndvi;Chen_rossii;Anser_rossii;Nearctic;Nearctic;139;266;0.258190792;3.647932909;-94.4118705;61.88669065;33.40413534;28.48255531;682741.4693;201353.1301;4.783416832;1635.99;0;0;0;1;0;active
Anthropoides_virgo_22692081;clim.land;Grus_virgo;Anthropoides_virgo;Palearctic;EPale;4216;968;0.275466501;5.131838836;82.54696395;46.97912713;20.21694215;26.76218499;2781078.371;8843260.163;5.423214037;2417;0;0;0;1;0;passive
Anthropoides_virgo_22692081;clim.ndvi;Grus_virgo;Anthropoides_virgo;Palearctic;EPale;4216;968;0.213474333;3.899425754;82.54696395;46.97912713;20.21694215;26.76218499;2781078.371;8843260.163;4.494125824;2417;0;0;0;1;0;passive
Anthus_campestris_22718501;clim.land;Anthus_campestris;Anthus_campestris;Palearctic;WPale;5209;2883;0.28727196;4.281924471;52.7648781;46.23224227;17.00407562;29.22816666;8408757.329;11046646.32;5.735634954;23;0;1;0;0;0;active
Anthus_campestris_22718501;clim.ndvi;Anthus_campestris;Anthus_campestris;Palearctic;WPale;5209;2883;0.422939436;3.059805061;52.7648781;46.23224227;17.00407562;29.22816666;8408757.329;11046646.32;4.514271211;23;0;1;0;0;0;active
Anthus_godlewskii_22718505;clim.land;Anthus_godlewskii;Anthus_godlewskii;Palearctic;EPale;1174;743;0.242970338;3.687819498;102.2052811;48.68824532;19.55080754;29.13743778;2147831.508;2385723.829;5.609517888;25.34;0;1;0;0;0;active
Anthus_godlewskii_22718505;clim.ndvi;Anthus_godlewskii;Anthus_godlewskii;Palearctic;EPale;1174;743;0.063086444;0.415034707;102.2052811;48.68824532;19.55080754;29.13743778;2147831.508;2385723.829;4.574795638;25.34;0;1;0;0;0;active
Anthus_hodgsoni_22718550;clim.land;Anthus_hodgsoni;Anthus_hodgsoni;Palearctic;EPale;7182;1687;0.295221861;5.476114238;108.7214564;52.43045113;20.75355661;31.67689452;4827547.421;13229060.15;5.8664062;21.3;0;1;0;0;0;active
Anthus_hodgsoni_22718550;clim.ndvi;Anthus_hodgsoni;Anthus_hodgsoni;Palearctic;EPale;7182;1687;0.237437756;2.649181104;108.7214564;52.43045113;20.75355661;31.67689452;4827547.421;13229060.15;4.96229643;21.3;0;1;0;0;0;active
Anthus_petrosus_22718567;clim.land;Anthus_petrosus;Anthus_petrosus;Palearctic;WPale;118;105;0.100614706;2.952881183;19.41101695;65.23728814;47.86428571;17.37300242;214907.7421;152050.2276;5.505723011;22.4;0;1;0;0;0;active
Anthus_petrosus_22718567;clim.ndvi;Anthus_petrosus;Anthus_petrosus;Palearctic;WPale;118;105;0.492120355;6.276160045;19.41101695;65.23728814;47.86428571;17.37300242;214907.7421;152050.2276;4.047175657;22.4;0;1;0;0;0;active
Anthus_richardi_22718471;clim.land;Anthus_richardi;Anthus_richardi;Palearctic;EPale;6178;1354;0.33987505;3.721055799;109.9634995;48.90021042;18.54172821;30.35848221;3935622.465;12363230.36;5.991047012;32.17;0;1;0;0;0;active
Anthus_richardi_22718471;clim.ndvi;Anthus_richardi;Anthus_richardi;Palearctic;EPale;6178;1354;0.184612638;1.086660978;109.9634995;48.90021042;18.54172821;30.35848221;3935622.465;12363230.36;4.817810058;32.17;0;1;0;0;0;active
Anthus_rubescens_22718575;clim.land;Anthus_rubescens;Anthus_rubescens;Nearctic;Nearctic;4695;1893;0.268178956;12.39211907;-109.9183597;63.81943322;30.15966719;33.65976603;5003387.295;6267513.032;7.063929381;20.68;0;1;0;0;0;active
Anthus_rubescens_22718575;clim.ndvi;Anthus_rubescens;Anthus_rubescens;Nearctic;Nearctic;4695;1893;0.210599357;1.87301817;-109.9183597;63.81943322;30.15966719;33.65976603;5003387.295;6267513.032;5.978669896;20.68;0;1;0;0;0;active
Anthus_spinoletta_22718571;clim.land;Anthus_spinoletta;Anthus_spinoletta;Palearctic;EPale;1427;2344;0.422983612;4.188490121;83.27137351;45.82918711;34.13758532;11.69160178;5921821.018;3053150.84;6.093399448;23.9;0;1;0;0;0;active
Anthus_spinoletta_22718571;clim.ndvi;Anthus_spinoletta;Anthus_spinoletta;Palearctic;EPale;1427;2344;0.471074136;3.733263345;83.27137351;45.82918711;34.13758532;11.69160178;5921821.018;3053150.84;4.843433191;23.9;0;1;0;0;0;active
Anthus_spragueii_22718591;clim.land;Anthus_spragueii;Anthus_spragueii;Nearctic;Nearctic;622;1056;0.213448713;7.830187971;-106.0069484;50.62549631;29.01893939;21.60655692;2833361.441;1212949.392;6.601081001;25.5;0;1;0;0;0;active
Anthus_spragueii_22718591;clim.ndvi;Anthus_spragueii;Anthus_spragueii;Nearctic;Nearctic;622;1056;0.180975751;1.818108624;-106.0069484;50.62549631;29.01893939;21.60655692;2833361.441;1212949.392;5.194750184;25.5;0;1;0;0;0;active
Anthus_trivialis_22718546;clim.land;Anthus_trivialis;Anthus_trivialis;Palearctic;WPale;8576;4118;0.294955103;5.006560237;59.01854011;56.28451493;4.895337542;51.38917738;12312109.28;14566678.09;5.94386608;23.33;0;1;0;0;0;active
Anthus_trivialis_22718546;clim.ndvi;Anthus_trivialis;Anthus_trivialis;Palearctic;WPale;8576;4118;0.13071459;0.900175978;59.01854011;56.28451493;4.895337542;51.38917738;12312109.28;14566678.09;4.727985516;23.33;0;1;0;0;0;active
